Make,Electric Range
ALFA ROMEO,33
AUDI,222
AZURE DYNAMICS,56
BENTLEY,21
BMW,153
BUBBLE BUDDY,40
CADILLAC,40
CHEVROLET,259
CHRYSLER,33
DODGE,80
FIAT,87
FISKER,33
FORD,100
HONDA,89
HYUNDAI,258
JAGUAR,234
JEEP,25
KIA,239
LAND ROVER,51
LEXUS,37
LINCOLN,28
MAZDA,26
MERCEDES-BENZ,87
MINI,110
MITSUBISHI,62
NISSAN,215
PLYMOUTH,70
POLESTAR,233
PORSCHE,203
SMART,68
SUBARU,17
TESLA,337
TH!NK,100
TOYOTA,103
VOLKSWAGEN,125
VOLVO,41
WHEEGO ELECTRIC CARS,100
