,Electric Range,Legislative District,Model Year
7351,220,48.0,2017
89986,0,22.0,2022
136170,0,42.0,2021
79297,0,28.0,2022
106042,0,10.0,2023
20207,17,11.0,2021
101072,0,5.0,2023
80142,0,5.0,2022
118466,0,34.0,2023
115881,220,28.0,2019
126539,308,1.0,2020
67978,200,34.0,2016
141739,238,43.0,2018
75506,215,23.0,2018
120402,0,44.0,2023
28885,84,36.0,2017
96591,42,40.0,2021
142402,208,29.0,2013
94826,0,8.0,2023
135922,0,27.0,2023
110070,0,38.0,2023
24210,0,49.0,2022
10659,0,33.0,2022
140323,215,44.0,2018
90985,0,31.0,2022
104909,0,45.0,2023
16508,47,43.0,2018
30295,266,17.0,2020
24231,0,36.0,2021
41793,0,18.0,2022
126959,21,40.0,2022
17582,18,41.0,2021
33012,18,36.0,2021
