,Unnamed: 0,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1643,69029,5YJSA1DN1D,Snohomish,Edmonds,WA,98026.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21.0,183693303,POINT (-122.33568499999996 47.803720000000055),PUGET SOUND ENERGY INC,53061050101.0
1644,69059,5YJSA1S1XE,Clark,Vancouver,WA,98665.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,49.0,106274402,POINT (-122.66591999999997 45.67856500000005),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041008.0
1645,69067,WBAJB1C56J,Clark,Washougal,WA,98671.0,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,54950,18.0,245607190,POINT (-122.35382849999996 45.58386340000004),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),53011040509.0
1646,69111,5YJSA1CN7D,King,Mercer Island,WA,98040.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41.0,183350940,POINT (-122.2371867 47.58229970000008),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024500.0
1647,69123,YV4BR0PM2J,King,Seattle,WA,98103.0,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,64950,46.0,348630082,POINT (-122.34300999999999 47.659185000000036),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002700.0
1648,69167,KNDJX3AE0H,King,Seattle,WA,98109.0,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,36.0,151751029,POINT (-122.34848 47.632405),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007203.0
1649,69168,5YJSA1H13E,King,Seattle,WA,98117.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,36.0,176840758,POINT (-122.37275999999997 47.689685000000054),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001500.0
1650,69278,5YJRE11B38,San Juan,Friday Harbor,WA,98250.0,2008,TESLA,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,98950,40.0,132987529,POINT (-123.02225499999997 48.531355000000076),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,53055960302.0
1651,69320,WP1AE2AY0L,King,Mercer Island,WA,98040.0,2020,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,81100,41.0,122153153,POINT (-122.2371867 47.58229970000008),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024601.0
1652,69377,YV4BR0PK3J,Kitsap,Bainbridge Island,WA,98110.0,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,64950,23.0,349641498,POINT (-122.52357809999995 47.629332300000044),NO KNOWN ELECTRIC UTILITY SERVICE,53035090902.0
1653,69395,WMZYU7C50K,King,Seattle,WA,98136.0,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,34.0,227500038,POINT (-122.38867499999998 47.54150000000004),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011601.0
1654,69403,WMZYU7C57K,San Juan,Friday Harbor,WA,98250.0,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,40.0,242668604,POINT (-123.02225499999997 48.531355000000076),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,53055960400.0
1655,69413,5YJSA1AC2D,King,Seattle,WA,98117.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,36.0,144945552,POINT (-122.37275999999997 47.689685000000054),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001702.0
1656,69425,5YJSA1CP0D,King,Seattle,WA,98122.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,37.0,173156273,POINT (-122.30838999999997 47.61036500000006),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800.0
1657,69472,5YJSA1H19E,Snohomish,Lake Stevens,WA,98258.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,44.0,143128240,POINT (-122.11206499999997 48.00434500000006),PUGET SOUND ENERGY INC,53061052707.0
1658,69500,5YJSA1H29E,King,Newcastle,WA,98059.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41.0,171048538,POINT (-122.15733999999998 47.487175000000036),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025005.0
1659,69516,WBA8E1C5XH,King,Seattle,WA,98117.0,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,36.0,219466509,POINT (-122.37275999999997 47.689685000000054),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003100.0
